n_interacao,rss
249,101.342472
250,101.32887
251,101.315271
252,101.301674
253,101.28808
254,101.274488
255,101.260899
256,101.247313
257,101.233729
258,101.220147
259,101.206569
260,101.192992
261,101.179419
262,101.165848
263,101.152279
264,101.138714
265,101.12515
266,101.11159
267,101.098032
268,101.084476
269,101.070923
270,101.057373
271,101.043825
272,101.03028
273,101.016737
274,101.003197
275,100.98966
276,100.976125
277,100.962592
278,100.949063
279,100.935535
280,100.922011
281,100.908489
282,100.894969
283,100.881452
284,100.867938
285,100.854426
286,100.840917
287,100.82741
288,100.813906
289,100.800405
290,100.786906
291,100.77341
292,100.759916
293,100.746425
294,100.732936
295,100.71945
296,100.705966
297,100.692485
298,100.679007
299,100.665531
300,100.652058
301,100.638587
302,100.625119
303,100.611653
304,100.59819
305,100.58473
306,100.571272
307,100.557817
308,100.544364
309,100.530914
310,100.517466
311,100.504021
312,100.490578
313,100.477139
314,100.463701
315,100.450266
316,100.436834
317,100.423404
318,100.409977
319,100.396552
320,100.38313
321,100.369711
322,100.356294
323,100.342879
324,100.329467
325,100.316058
326,100.302651
327,100.289247
328,100.275845
329,100.262446
330,100.249049
331,100.235655
332,100.222264
333,100.208875
334,100.195489
335,100.182105
336,100.168723
337,100.155345
338,100.141968
339,100.128595
340,100.115224
341,100.101855
342,100.088489
343,100.075125
344,100.061764
345,100.048406
346,100.03505
347,100.021697
348,100.008346
349,99.994998
350,99.981652
351,99.968309
352,99.954968
353,99.94163
354,99.928294
355,99.914961
356,99.901631
357,99.888303
358,99.874978
359,99.861655
360,99.848334
361,99.835016
362,99.821701
363,99.808388
364,99.795078
365,99.78177
366,99.768465
367,99.755163
368,99.741863
369,99.728565
370,99.71527
371,99.701977
372,99.688687
373,99.6754
374,99.662115
375,99.648833
376,99.635553
377,99.622275
378,99.609001
379,99.595728
380,99.582458
381,99.569191
382,99.555926
383,99.542664
384,99.529405
385,99.516147
386,99.502893
387,99.489641
388,99.476391
389,99.463144
390,99.449899
391,99.436657
392,99.423418
393,99.410181
